קצָת גָדול,a bit big
גָדול,big
יותֶר גָדול,bigger
הָכִי גָדול,biggest
גָדול מאוד,very big
גָדול מִדַי,too big
פָּחות גָדול,less big
קצָת יָפֶה,a bit beautiful
יָפֶה,beautiful
יותֶר יָפֶה,more beautiful
הָכִי יָפֶה,most beautiful
יָפֶה מאוד,very beautiful
יָפֶה מִדַי,too beautiful
פָּחות יָפֶה,less beautiful
קצָת קָטָן,a bit small
קָטָן,small
יותֶר קָטָן,smaller
הָכִי קָטָן,smallest
קָטָן מאוד,very small
קָטָן מִדַי,too small
פָּחות קָטָן,less small
קצָת לָבָן,a bit white
לָבָן,white
יותֶר לָבָן,whiter
הָכִי לָבָן,whitest
לָבָן מאוד,very white
לָבָן מִדַי,too white
פָּחות לָבָן,less white
קצָת קַל,a bit easy
קַל,easy
יותֶר קַל,easier
הָכִי קַל,easiest
קַל מאוד,very easy
קַל מִדַי,too easy
פָּחות קַל,less easy
קצָת קָשֶה,a bit hard
קָשֶה,hard
יותֶר קָשֶה,harder
הָכִי קָשֶה,hardest
קָשֶה מאוד,very hard
קָשֶה מִדַי,too hard
פָּחות קָשֶה,less hard
קצָת אָרוך,a bit long
אָרוך,long
יותֶר אָרוך,longer
הָכִי אָרוך,longest
אָרוך מאוד,very long
אָרוך מִדַי,too long
פָּחות אָרוך,less long
קצָת קָצָר,a bit short
קָצָר,short
יותֶר קָצָר,shorter
הָכִי קָצָר,shortest
קָצָר מאוד,very short
קָצָר מִדַי,too short
פָּחות קָצָר,less short
קצָת פַּחדָן,a bit cowardly
פַּחדָן,cowardly
יותֶר פַּחדָן,more cowardly
הָכִי פַּחדָן,most cowardly
פַּחדָן מאוד,very cowardly
פַּחדָן מִדַי,too cowardly
פָּחות פַּחדָן,less cowardly
קצָת רָעֶב,a bit hungry
רָעֶב,hungry
יותֶר רָעֶב,hungrier
הָכִי רָעֶב,hungriest
רָעֶב מאוד,very hungry
רָעֶב מִדַי,too hungry
פָּחות רָעֶב,less hungry
קצָת שָׂבֶעַ,a bit full
שָׂבֶעַ,full
יותֶר שָׂבֶעַ,fuller
הָכִי שָׂבֶעַ,fullest
שָׂבֶעַ מאוד,very full
שָׂבֶעַ מִדַי,too full
פָּחות שָׂבֶעַ,less full
קצָת חָמוּד,a bit cute
חָמוּד,cute
יותֶר חָמוּד,cuter
הָכִי חָמוּד,cutest
חָמוּד מאוד,very cute
חָמוּד מִדַי,too cute
פָּחות חָמוּד,less cute
קצָת עָצלָן,a bit lazy
עָצלָן,lazy
יותֶר עָצלָן,lazier
הָכִי עָצלָן,laziest
עָצלָן מאוד,very lazy
עָצלָן מִדַי,too lazy
פָּחות עָצלָן,less lazy
קצָת חָרוּץ,a bit diligent
חָרוּץ,diligent
יותֶר חָרוּץ,more diligent
הָכִי חָרוּץ,most diligent
חָרוּץ מאוד,very diligent
חָרוּץ מִדַי,too diligent
פָּחות חָרוּץ,less diligent
קצָת מָתוק,a bit sweet
מָתוק,sweet
יותֶר מָתוק,sweeter
הָכִי מָתוק,sweetest
מָתוק מאוד,very sweet
מָתוק מִדַי,too sweet
פָּחות מָתוק,less sweet
קצָת חָמוּץ,a bit sour
חָמוּץ,sour
יותֶר חָמוּץ,sourer
הָכִי חָמוּץ,sourest
חָמוּץ מאוד,very sour
חָמוּץ מִדַי,too sour
פָּחות חָמוּץ,less sour
קצָת מָלוּחַ,a bit salty
מָלוּחַ,salty
יותֶר מָלוּחַ,saltier
הָכִי מָלוּחַ,saltiest
מָלוּחַ מאוד,very salty
מָלוּחַ מִדַי,too salty
פָּחות מָלוּחַ,less salty
